,Open,High,Low,Close,Volume,QuoteVolume
2022-09-06 05:57:00+09:00,2780529.0,2780872.0,2780188.0,2780632.0,0.72547274,2017172.45103334
2022-09-06 05:58:00+09:00,2780731.0,2782487.0,2780731.0,2781362.0,1.79934612,5005440.24555705
2022-09-06 05:59:00+09:00,2781664.0,2781664.0,2780382.0,2780390.0,1.07202855,2981238.24465543
2022-09-06 06:00:00+09:00,2780000.0,2781326.0,2780000.0,2781314.0,2.50435231,6964513.40328461
2022-09-06 06:01:00+09:00,2781326.0,2782174.0,2781219.0,2781611.0,1.50417045,4184168.99532949
2022-09-06 06:02:00+09:00,2781614.0,2782500.0,2781614.0,2781794.0,0.47119366,1310868.44922952
2022-09-06 06:03:00+09:00,2781862.0,2782422.0,2780486.0,2781506.0,1.32483524,3685230.19095415
2022-09-06 06:04:00+09:00,2781064.0,2782710.0,2781042.0,2782185.0,2.23486398,6217359.44312402
2022-09-06 06:05:00+09:00,2782074.0,2782074.0,2781287.0,2781496.0,1.05534346,2935418.27103412
2022-09-06 06:06:00+09:00,2781670.0,2782010.0,2781404.0,2781592.0,0.4613,1283219.5057014
2022-09-06 06:07:00+09:00,2781464.0,2782384.0,2781464.0,2782084.0,0.84435724,2349054.14059792
2022-09-06 06:08:00+09:00,2782253.0,2783010.0,2782130.0,2782750.0,0.54791106,1524651.23169732
2022-09-06 06:09:00+09:00,2783167.0,2783947.0,2782660.0,2783947.0,1.3501896,3758516.2008446
2022-09-06 06:10:00+09:00,2783718.0,2784526.0,2783039.0,2783739.0,1.2115,3372446.90647026
2022-09-06 06:11:00+09:00,2783950.0,2785881.0,2783739.0,2785252.0,4.08246043,11370381.65094294
2022-09-06 06:12:00+09:00,2785529.0,2788523.0,2785250.0,2787696.0,6.4662419,18022228.87545742
2022-09-06 06:13:00+09:00,2787640.0,2788305.0,2786210.0,2786374.0,2.05696775,5732919.96421205
2022-09-06 06:14:00+09:00,2786368.0,2786373.0,2785454.0,2785962.0,0.34639,964996.59338175
2022-09-06 06:15:00+09:00,2785684.0,2785962.0,2784238.0,2784470.0,1.42528223,3969700.43360662
2022-09-06 06:16:00+09:00,2784748.0,2784850.0,2782753.0,2783032.0,2.39539891,6667628.30703846
2022-09-06 06:17:00+09:00,2783128.0,2783421.0,2782753.0,2782957.0,0.4696975,1307234.6045075
2022-09-06 06:18:00+09:00,2783011.0,2783101.0,2782545.0,2782827.0,0.3010064,837678.97989393
2022-09-06 06:19:00+09:00,2783220.0,2783604.0,2782738.0,2782887.0,0.55899932,1555758.28345259
2022-09-06 06:20:00+09:00,2782888.0,2783092.0,2779115.0,2780095.0,4.60123248,12796975.64742727
2022-09-06 06:21:00+09:00,2779445.0,2780551.0,2778442.0,2779941.0,4.39772274,12222199.73577666
2022-09-06 06:22:00+09:00,2779276.0,2781537.0,2778772.0,2781319.0,2.29931426,6392781.57151776
2022-09-06 06:23:00+09:00,2781318.0,2781537.0,2781258.0,2781537.0,0.57646724,1603444.92547934
2022-09-06 06:24:00+09:00,2781599.0,2781599.0,2780790.0,2781108.0,0.41832077,1163484.33942779
2022-09-06 06:25:00+09:00,2781144.0,2781614.0,2780741.0,2780741.0,0.3602,1001761.8957
2022-09-06 06:26:00+09:00,2780467.0,2780467.0,2778194.0,2779192.0,1.8273,5078538.60806975
2022-09-06 06:27:00+09:00,2779266.0,2779322.0,2778575.0,2779004.0,0.25146283,698817.74342603
2022-09-06 06:28:00+09:00,2778726.0,2779289.0,2777773.0,2779289.0,2.41012,6696700.1296866
2022-09-06 06:29:00+09:00,2779504.0,2779759.0,2779436.0,2779759.0,0.5724,1591012.3772
2022-09-06 06:30:00+09:00,2779674.0,2780199.0,2779551.0,2780199.0,1.495,4156090.7978226
2022-09-06 06:31:00+09:00,2780128.0,2780239.0,2778467.0,2779682.0,3.08493154,8572939.75646931
2022-09-06 06:32:00+09:00,2779297.0,2779298.0,2776834.0,2777513.0,3.37180174,9366214.07822439
2022-09-06 06:33:00+09:00,2777214.0,2777921.0,2775033.0,2776697.0,5.6389317,15655406.64998238
2022-09-06 06:34:00+09:00,2776714.0,2778016.0,2776714.0,2778016.0,2.61542635,7264237.04917755
2022-09-06 06:35:00+09:00,2778121.0,2778676.0,2777871.0,2778500.0,0.67344393,1871030.50756474
2022-09-06 06:36:00+09:00,2778636.0,2779873.0,2778636.0,2779507.0,0.95350315,2650175.80817973
2022-09-06 06:37:00+09:00,2779873.0,2780209.0,2779547.0,2780204.0,0.36875264,1025098.79747406
2022-09-06 06:38:00+09:00,2780005.0,2780351.0,2779836.0,2779836.0,0.26910797,748139.10230309
2022-09-06 06:39:00+09:00,2780239.0,2780355.0,2779947.0,2780355.0,0.43506093,1209486.67719781
2022-09-06 06:40:00+09:00,2780279.0,2780355.0,2779947.0,2779947.0,1.53699,4273201.78231685
2022-09-06 06:41:00+09:00,2780076.0,2780355.0,2780000.0,2780000.0,0.4697668,1306047.133
2022-09-06 06:42:00+09:00,2780354.0,2780355.0,2779947.0,2779947.0,3.58432384,9964526.98214446
2022-09-06 06:43:00+09:00,2780092.0,2782883.0,2779332.0,2782613.0,5.9310808,16493583.19917188
2022-09-06 06:44:00+09:00,2782613.0,2783312.0,2780878.0,2781616.0,2.30300783,6407330.11567679
2022-09-06 06:45:00+09:00,2780899.0,2781181.0,2780780.0,2781176.0,0.36,1001147.52
2022-09-06 06:46:00+09:00,2780723.0,2780948.0,2779582.0,2779945.0,1.154,3208364.4989
2022-09-06 06:47:00+09:00,2779954.0,2780973.0,2779954.0,2780531.0,0.62517962,1738345.23080206
2022-09-06 06:48:00+09:00,2780427.0,2780427.0,2778339.0,2778929.0,1.94776215,5412658.4327627
2022-09-06 06:49:00+09:00,2778928.0,2779238.0,2778354.0,2779238.0,0.48640301,1351743.54861526
2022-09-06 06:50:00+09:00,2779339.0,2779759.0,2779250.0,2779695.0,0.22693949,630768.70565555
2022-09-06 06:51:00+09:00,2780069.0,2780785.0,2780060.0,2780221.0,0.47035,1307738.0351
2022-09-06 06:52:00+09:00,2780603.0,2781018.0,2780450.0,2780611.0,0.70605,1963287.31264714
2022-09-06 06:53:00+09:00,2780756.0,2780756.0,2780073.0,2780571.0,0.49242139,1369066.21226148
2022-09-06 06:54:00+09:00,2780171.0,2781277.0,2779448.0,2780546.0,1.13506861,3155773.42026812
2022-09-06 06:55:00+09:00,2780585.0,2782104.0,2780549.0,2781653.0,2.22066474,6176950.58768339
2022-09-06 06:56:00+09:00,2781653.0,2782371.0,2780883.0,2781175.0,1.45305079,4041751.12797989
2022-09-06 06:57:00+09:00,2781508.0,2781952.0,2781258.0,2781952.0,0.50905919,1416025.39479022
2022-09-06 06:58:00+09:00,2781840.0,2782743.0,2781716.0,2782743.0,0.652773,1816095.21430946
2022-09-06 06:59:00+09:00,2782900.0,2783504.0,2782753.0,2782753.0,1.36574122,3801100.57072857
2022-09-06 07:00:00+09:00,2782527.0,2782527.0,2779781.0,2780394.0,1.60668361,4468635.39524666
2022-09-06 07:01:00+09:00,2779815.0,2780781.0,2779055.0,2779832.0,2.42514502,6741493.51859688
2022-09-06 07:02:00+09:00,2780422.0,2780854.0,2779132.0,2779916.0,1.2205,3393170.52509976
2022-09-06 07:03:00+09:00,2779916.0,2781707.0,2779055.0,2781630.0,3.03107437,8428305.32481642
2022-09-06 07:04:00+09:00,2782316.0,2782316.0,2780207.0,2781081.0,1.94759976,5416671.62367496
2022-09-06 07:05:00+09:00,2780485.0,2780934.0,2779708.0,2780288.0,1.45398511,4042559.21652487
2022-09-06 07:06:00+09:00,2780200.0,2780575.0,2778949.0,2780006.0,2.29654628,6383729.44658585
2022-09-06 07:07:00+09:00,2780127.0,2781146.0,2779653.0,2780207.0,1.67598408,4660226.61635401
2022-09-06 07:08:00+09:00,2780137.0,2780997.0,2779604.0,2780997.0,0.5114,1421908.449
2022-09-06 07:09:00+09:00,2780603.0,2780603.0,2778460.0,2779386.0,1.17693262,3271138.3150545
2022-09-06 07:10:00+09:00,2779522.0,2779950.0,2778554.0,2778848.0,0.4848,1347466.9654
2022-09-06 07:11:00+09:00,2779194.0,2781000.0,2779194.0,2780507.0,2.50193177,6956253.27716413
2022-09-06 07:12:00+09:00,2780552.0,2781347.0,2778852.0,2779479.0,2.6117537,7260290.67859738
2022-09-06 07:13:00+09:00,2779658.0,2780734.0,2779146.0,2780512.0,0.9231012,2566225.28371749
